Modelo,Dimensión,RMSE,MAE,R²
ConvLSTM,wx (roll),0.438539479250976,0.28163042664527893,0.7725794911384583
ConvLSTM,wy (pitch),0.2030967087483922,0.12929050624370575,0.9594093561172485
ConvLSTM,wz (yaw),0.33782350832764313,0.1991230696439743,0.889700710773468
ConvLSTM,ax,0.3935276713221054,0.26428458094596863,0.8485569953918457
ConvLSTM,ay,0.4455393163369969,0.28080371022224426,0.7658791542053223
ConvLSTM,az,0.5424341822396488,0.3779433071613312,0.7036861181259155
DroneNav-ConvLSTM,wx (roll),0.36137338303316713,0.22094663977622986,0.8455725312232971
DroneNav-ConvLSTM,wy (pitch),0.22231272917342365,0.15309284627437592,0.9513649940490723
DroneNav-ConvLSTM,wz (yaw),0.2945788580263613,0.16711640357971191,0.9161320328712463
DroneNav-ConvLSTM,ax,0.355869067800191,0.24477322399616241,0.8761548399925232
DroneNav-ConvLSTM,ay,0.41557076896281114,0.2431119829416275,0.7963155508041382
DroneNav-ConvLSTM,az,0.5598219859784702,0.384140282869339,0.6843849420547485
DroneNavSA-ConvLSTM_completo,wx (roll),0.34823465986347585,0.2142687737941742,0.8565976619720459
DroneNavSA-ConvLSTM_completo,wy (pitch),0.20661062120126553,0.13900895416736603,0.9579926133155823
DroneNavSA-ConvLSTM_completo,wz (yaw),0.29615392450923245,0.1694285273551941,0.91523277759552
DroneNavSA-ConvLSTM_completo,ax,0.36504922345482077,0.2585814893245697,0.8696828484535217
DroneNavSA-ConvLSTM_completo,ay,0.4006883026374438,0.23886258900165558,0.8106430172920227
DroneNavSA-ConvLSTM_completo,az,0.556003433400469,0.382693350315094,0.6886758804321289
DroneNavSA-ConvLSTM_ligero,wx (roll),0.3598548132470765,0.2205362617969513,0.8468676805496216
DroneNavSA-ConvLSTM_ligero,wy (pitch),0.20227697220523186,0.13075795769691467,0.9597363471984863
DroneNavSA-ConvLSTM_ligero,wz (yaw),0.2808707116906966,0.15585561096668243,0.923755943775177
DroneNavSA-ConvLSTM_ligero,ax,0.3561964864860627,0.24877521395683289,0.8759268522262573
DroneNavSA-ConvLSTM_ligero,ay,0.40200420978106893,0.23805232346057892,0.8093972206115723
DroneNavSA-ConvLSTM_ligero,az,0.5522976555266342,0.3859233558177948,0.6928119659423828
DroneConvMLP,wx (roll),0.48865721914633536,0.3122674226760864,0.717628538608551
DroneConvMLP,wy (pitch),0.2173041346116261,0.13871973752975464,0.9535317420959473
DroneConvMLP,wz (yaw),0.35310048549935263,0.21060854196548462,0.8794993162155151
DroneConvMLP,ax,0.42075359569493226,0.2820093035697937,0.8268771767616272
DroneConvMLP,ay,0.4628991234880457,0.29452788829803467,0.7472794055938721
DroneConvMLP,az,0.5489018889573464,0.38676345348358154,0.696577787399292
PilotNetRegressor,wx (roll),0.35964804103974896,0.21182166039943695,0.8470436334609985
PilotNetRegressor,wy (pitch),0.17635822970431692,0.11285936832427979,0.9693936109542847
PilotNetRegressor,wz (yaw),0.27739772808637336,0.14324833452701569,0.9256298542022705
PilotNetRegressor,ax,0.3409111535848003,0.2306174635887146,0.8863469362258911
PilotNetRegressor,ay,0.4082545380407286,0.23614683747291565,0.8034242391586304
PilotNetRegressor,az,0.5701807732194182,0.3949129283428192,0.6725967526435852
DroneMobileNetV3_large,wx (roll),0.34695447320639655,0.20217853784561157,0.857650101184845
DroneMobileNetV3_large,wy (pitch),0.16297224501888016,0.10578276962041855,0.9738634824752808
DroneMobileNetV3_large,wz (yaw),0.2669796760044208,0.1301138699054718,0.9311110973358154
DroneMobileNetV3_large,ax,0.3487581727564022,0.2357548326253891,0.8810546398162842
DroneMobileNetV3_large,ay,0.42220793055549627,0.23243866860866547,0.7897573709487915
DroneMobileNetV3_large,az,0.5575990690638134,0.3800848126411438,0.6868864297866821
DroneMobileNetV3_small,wx (roll),0.3560172868547124,0.21716941893100739,0.8501163125038147
DroneMobileNetV3_small,wy (pitch),0.20716027971400366,0.1352105587720871,0.9577687978744507
DroneMobileNetV3_small,wz (yaw),0.30542453240955736,0.16102014482021332,0.9098427295684814
DroneMobileNetV3_small,ax,0.36803209282006916,0.25019675493240356,0.8675444722175598
DroneMobileNetV3_small,ay,0.4454581039371506,0.24887439608573914,0.7659645080566406
DroneMobileNetV3_small,az,0.564059268593448,0.3888065814971924,0.679589033126831
DroneResNet18,wx (roll),0.34175663302444004,0.20023362338542938,0.8618833422660828
DroneResNet18,wy (pitch),0.1570149175966028,0.09919464588165283,0.9757393598556519
DroneResNet18,wz (yaw),0.28401113538839423,0.12930193543434143,0.9220414757728577
DroneResNet18,ax,0.3605893598759212,0.2321704626083374,0.8728476166725159
DroneResNet18,ay,0.4296865289850534,0.23666882514953613,0.7822433710098267
DroneResNet18,az,0.5802687257968973,0.3929881751537323,0.6609090566635132
MLP,wx (roll),0.4140157673212816,0.26063719391822815,0.7973036766052246
MLP,wy (pitch),0.20284714401431087,0.13260352611541748,0.959509015083313
MLP,wz (yaw),0.3180086509169667,0.1896326094865799,0.9022603034973145
MLP,ax,0.37695555612046955,0.2545696496963501,0.8610434532165527
MLP,ay,0.43137788327695226,0.27016767859458923,0.7805256843566895
MLP,az,0.5607066176083672,0.3960791528224945,0.6833866834640503
